image_id_1,object_id_1,image_id_2,object_id_2,distance,occlusion,raw_distance,raw_occlusion
000002b66c9c498e,0,ac9026452ce5659c,0,1,0,"1,1,1","0,0,0"
000060e3121c7305,0,5e3f348764a5eef8,0,2,0,"2,2,1","0,0,0"
0000aa810854dc2e,0,31527ca2d62a5495,0,2,0,"2,1,2","0,0,0"
0000b366aaf9672a,0,b4f8283c68010e5f,0,2,0,"2,2,1","0,0,0"
0000b7e1500c94d7,0,d6852c5f2b33983f,0,2,0,"2,2,2","0,0,0"
0000bcb094764718,0,5377100869726175,0,2,0,"2,2,2","0,0,0"
0000dc465ec144aa,0,a646c3cb57711aa9,0,2,0,"2,2,2","0,0,0"
0000f8604a4e2cfe,0,68085101c91e56a9,0,0,0,"2,0,0","0,0,0"
00010417d07870a7,0,4820c0b5a1d908ca,0,0,0,"0,0,0","0,0,0"
0001f06463aef4a3,0,74ae7f420fdc9b12,0,2,0,"2,2,2","0,0,0"
00022a23d0e4add5,0,e7f7c87be5791875,0,1,0,"1,1,1","0,0,0"
0002af997ecdfcf4,0,857e79d23e0d7fd9,0,2,0,"2,2,2","0,0,0"
0002f32727ed756e,0,a71aafb8cf7d475b,0,2,0,"2,2,2","0,0,0"
0004238e4b8d0d33,0,4097f5e9690c524c,0,1,0,"1,1,2","0,0,0"
000464f9fff223ab,0,067130a3d7578639,0,2,0,"1,2,1,2,2,2","0,0,0,0,0,0"
0004fca29aa55afd,0,10c4d78022313a52,0,1,0,"1,1,1","0,0,0"
000574f10b4f2d4a,0,127b7bc9944022d9,0,2,0,"2,2,2","0,0,0"
00058138dc1ecd17,0,8ba28eeec6f1a78c,0,1,0,"1,1,1","0,0,0"
00058b7f371d98b8,0,fdbe6c49f1103664,0,2,0,"2,2,2","0,0,0"
0005c9f06b94b6f5,0,7d67be9a82340da9,0,0,0,"0,0,0","0,0,0"
0005cd38d94e5262,0,70326c3eb846a19f,0,1,0,"1,1,1","0,0,0"
0005ea10e0e14db1,0,932f1acf8e8f48b5,0,1,0,"1,1,1","0,0,0"
0005f203463a13a8,0,0cc633381377b66a,0,1,0,"1,1,1","0,0,0"
0006145f513fcc62,0,48b514c194e8ad3c,0,0,0,"0,0,0","0,0,0"
0006295dcfa8ab3d,0,d36e0f25ce409dc8,0,1,0,"1,1,1","0,0,0"
00062fd13de3786c,0,815011aae9b1e7ab,0,2,0,"2,2,2","0,0,0"
000736df72aedfa0,0,c19798039e7d2ac5,0,2,0,"2,2,2","0,0,0"
00076a1ba8912d87,0,ad1a36d62f1a808a,0,2,0,"2,2,2","0,0,0"
000780f791b71252,0,738a1d90704c7c4d,0,1,0,"1,1,1","0,0,0"
0007b79bd531f4b6,0,42001a305e03712f,0,2,0,"2,2,0","0,0,0"
0007e94c79e5c96a,0,5eb50f76114e84f6,0,2,0,"2,2,0","0,0,0"
